STATE,CONTAMINANT,MEDIAN_PPT
ID,PFMPA,0.0
ID,PFNA,0.0
ID,PFOA,0.0
ID,PFOS,0.0
ID,PFPeA,0.0
ID,PFPeS,0.0
ID,PFTA,0.0
ID,PFTrDA,0.0
ID,PFUnA,0.0
IL,11Cl-PF3OUDS,0.0
IL,4:2 FTS,0.0
IL,6:2 FTS,0.0
IL,8:2 FTS,0.0
IL,9Cl-PF3ONS,0.0
IL,ADONA,0.0
IL,HFPO-DA,0.0
IL,NETFOSAA,0.0
IL,NFDHA,0.0
IL,NMEFOSAA,0.0
IL,PFBA,0.0
IL,PFBS,0.0
IL,PFDA,0.0
IL,PFDoA,0.0
IL,PFEESA,0.0
IL,PFHpA,0.0
IL,PFHpS,0.0
IL,PFHxA,0.0
IL,PFHxS,0.0
IL,PFMBA,0.0
IL,PFMPA,0.0
IL,PFNA,0.0
IL,PFOA,0.0
IL,PFOS,0.0
IL,PFPeA,0.0
IL,PFPeS,0.0
IL,PFTA,0.0
IL,PFTrDA,0.0
IL,PFUnA,0.0
IN,11Cl-PF3OUDS,0.0
IN,4:2 FTS,0.0
IN,6:2 FTS,0.0
IN,8:2 FTS,0.0
IN,9Cl-PF3ONS,0.0
IN,ADONA,0.0
IN,HFPO-DA,0.0
IN,NETFOSAA,0.0
IN,NFDHA,0.0
IN,NMEFOSAA,0.0
IN,PFBA,0.0
IN,PFBS,0.0
IN,PFDA,0.0
IN,PFDoA,0.0
IN,PFEESA,0.0
IN,PFHpA,0.0
IN,PFHpS,0.0
IN,PFHxA,0.0
IN,PFHxS,0.0
IN,PFMBA,0.0
IN,PFMPA,0.0
IN,PFNA,0.0
IN,PFOA,0.0
IN,PFOS,0.0
IN,PFPeA,0.0
IN,PFPeS,0.0
IN,PFTA,0.0
IN,PFTrDA,0.0
IN,PFUnA,0.0
KS,11Cl-PF3OUDS,0.0
KS,4:2 FTS,0.0
KS,6:2 FTS,0.0
KS,8:2 FTS,0.0
KS,9Cl-PF3ONS,0.0
KS,ADONA,0.0
KS,HFPO-DA,0.0
KS,NETFOSAA,0.0
KS,NFDHA,0.0
KS,NMEFOSAA,0.0
KS,PFBA,0.0
KS,PFBS,0.0
KS,PFDA,0.0
KS,PFDoA,0.0
KS,PFEESA,0.0
KS,PFHpA,0.0
KS,PFHpS,0.0
KS,PFHxA,0.0
KS,PFHxS,0.0
KS,PFMBA,0.0
KS,PFMPA,0.0
KS,PFNA,0.0
KS,PFOA,0.0
KS,PFOS,0.0
KS,PFPeA,0.0
KS,PFPeS,0.0
KS,PFTA,0.0
KS,PFTrDA,0.0
KS,PFUnA,0.0
KY,11Cl-PF3OUDS,0.0
KY,4:2 FTS,0.0
KY,6:2 FTS,0.0
KY,8:2 FTS,0.0
KY,9Cl-PF3ONS,0.0
KY,ADONA,0.0
KY,HFPO-DA,0.0
KY,NETFOSAA,0.0
KY,NFDHA,0.0
KY,NMEFOSAA,0.0
KY,PFBA,0.0
KY,PFBS,0.0
KY,PFDA,0.0
KY,PFDoA,0.0
KY,PFEESA,0.0
KY,PFHpA,0.0
KY,PFHpS,0.0
KY,PFHxA,0.0
KY,PFHxS,0.0
KY,PFMBA,0.0
KY,PFMPA,0.0
KY,PFNA,0.0
KY,PFOA,0.0
KY,PFOS,0.0
KY,PFPeA,0.0
KY,PFPeS,0.0
KY,PFTA,0.0
KY,PFTrDA,0.0
KY,PFUnA,0.0
LA,11Cl-PF3OUDS,0.0
LA,4:2 FTS,0.0
LA,6:2 FTS,0.0
LA,8:2 FTS,0.0
LA,9Cl-PF3ONS,0.0
LA,ADONA,0.0
LA,HFPO-DA,0.0
LA,NETFOSAA,0.0
LA,NFDHA,0.0
LA,NMEFOSAA,0.0
LA,PFBA,0.0
LA,PFBS,0.0
LA,PFDA,0.0
LA,PFDoA,0.0
LA,PFEESA,0.0
LA,PFHpA,0.0
LA,PFHpS,0.0
LA,PFHxA,0.0
LA,PFHxS,0.0
LA,PFMBA,0.0
LA,PFMPA,0.0
LA,PFNA,0.0
LA,PFOA,0.0
LA,PFOS,0.0
LA,PFPeA,0.0
LA,PFPeS,0.0
LA,PFTA,0.0
LA,PFTrDA,0.0
LA,PFUnA,0.0
MA,11Cl-PF3OUDS,0.0
MA,4:2 FTS,0.0
MA,6:2 FTS,0.0
MA,8:2 FTS,0.0
MA,9Cl-PF3ONS,0.0
MA,ADONA,0.0
MA,HFPO-DA,0.0
MA,NETFOSAA,0.0
MA,NFDHA,0.0
MA,NMEFOSAA,0.0
MA,PFBA,0.0
MA,PFBS,0.0
MA,PFDA,0.0
MA,PFDoA,0.0
MA,PFEESA,0.0
MA,PFHpA,0.0
MA,PFHpS,0.0
MA,PFHxA,0.0
MA,PFHxS,0.0
MA,PFMBA,0.0
MA,PFMPA,0.0
MA,PFNA,0.0
MA,PFOA,0.0
MA,PFOS,0.0
MA,PFPeA,0.0
MA,PFPeS,0.0
MA,PFTA,0.0
MA,PFTrDA,0.0
MA,PFUnA,0.0
MD,11Cl-PF3OUDS,0.0
MD,4:2 FTS,0.0
MD,6:2 FTS,0.0
MD,8:2 FTS,0.0
MD,9Cl-PF3ONS,0.0
MD,ADONA,0.0
MD,HFPO-DA,0.0
MD,NETFOSAA,0.0
MD,NFDHA,0.0
MD,NMEFOSAA,0.0
MD,PFBA,0.0
MD,PFBS,0.0
MD,PFDA,0.0
MD,PFDoA,0.0
MD,PFEESA,0.0
MD,PFHpA,0.0
MD,PFHpS,0.0
MD,PFHxA,0.0
MD,PFHxS,0.0
MD,PFMBA,0.0
MD,PFMPA,0.0
MD,PFNA,0.0
MD,PFOA,0.0
MD,PFOS,0.0
MD,PFPeA,0.0
MD,PFPeS,0.0
MD,PFTA,0.0
MD,PFTrDA,0.0
MD,PFUnA,0.0
ME,11Cl-PF3OUDS,0.0
ME,4:2 FTS,0.0
ME,6:2 FTS,0.0
ME,8:2 FTS,0.0
ME,9Cl-PF3ONS,0.0
ME,ADONA,0.0
ME,HFPO-DA,0.0
ME,NETFOSAA,0.0
ME,NFDHA,0.0
ME,NMEFOSAA,0.0
ME,PFBA,0.0
ME,PFBS,0.0
ME,PFDA,0.0
ME,PFDoA,0.0
ME,PFEESA,0.0
ME,PFHpA,0.0
ME,PFHpS,0.0
ME,PFHxA,0.0
ME,PFHxS,0.0
ME,PFMBA,0.0
ME,PFMPA,0.0
ME,PFNA,0.0
ME,PFOA,0.0
ME,PFOS,0.0
ME,PFPeA,0.0
ME,PFPeS,0.0
ME,PFTA,0.0
ME,PFTrDA,0.0
ME,PFUnA,0.0
MI,11Cl-PF3OUDS,0.0
MI,4:2 FTS,0.0
MI,6:2 FTS,0.0
MI,8:2 FTS,0.0
MI,9Cl-PF3ONS,0.0
MI,ADONA,0.0
MI,HFPO-DA,0.0
MI,NETFOSAA,0.0
MI,NFDHA,0.0
MI,NMEFOSAA,0.0
MI,PFBA,0.0
MI,PFBS,0.0
MI,PFDA,0.0
MI,PFDoA,0.0
MI,PFEESA,0.0
MI,PFHpA,0.0
MI,PFHpS,0.0
MI,PFHxA,0.0
MI,PFHxS,0.0
MI,PFMBA,0.0
MI,PFMPA,0.0
MI,PFNA,0.0
MI,PFOA,0.0
MI,PFOS,0.0
MI,PFPeA,0.0
MI,PFPeS,0.0
MI,PFTA,0.0
MI,PFTrDA,0.0
MI,PFUnA,0.0
MN,11Cl-PF3OUDS,0.0
MN,4:2 FTS,0.0
MN,6:2 FTS,0.0
MN,8:2 FTS,0.0
MN,9Cl-PF3ONS,0.0
MN,ADONA,0.0
MN,HFPO-DA,0.0
MN,NETFOSAA,0.0
MN,NFDHA,0.0
MN,NMEFOSAA,0.0
MN,PFBA,0.0
MN,PFBS,0.0
MN,PFDA,0.0
MN,PFDoA,0.0
MN,PFEESA,0.0
MN,PFHpA,0.0
MN,PFHpS,0.0
MN,PFHxA,0.0
MN,PFHxS,0.0
MN,PFMBA,0.0
MN,PFMPA,0.0
MN,PFNA,0.0
MN,PFOA,0.0
MN,PFOS,0.0
MN,PFPeA,0.0
MN,PFPeS,0.0
MN,PFTA,0.0
MN,PFTrDA,0.0
MN,PFUnA,0.0
MO,11Cl-PF3OUDS,0.0
MO,4:2 FTS,0.0
MO,6:2 FTS,0.0
MO,8:2 FTS,0.0
MO,9Cl-PF3ONS,0.0
MO,ADONA,0.0
MO,HFPO-DA,0.0
MO,NETFOSAA,0.0
MO,NFDHA,0.0
MO,NMEFOSAA,0.0
MO,PFBA,0.0
MO,PFBS,0.0
MO,PFDA,0.0
MO,PFDoA,0.0
MO,PFEESA,0.0
MO,PFHpA,0.0
MO,PFHpS,0.0
